timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689039242674,446,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-7,text,true,,957,815,57,57,http://trans.icheckdev.com/,446,0,196
1689039242817,311,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-27,text,true,,957,815,58,58,http://trans.icheckdev.com/,311,0,90
1689039242767,364,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-22,text,true,,957,815,58,58,http://trans.icheckdev.com/,364,0,114
1689039242777,354,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-23,text,true,,957,815,58,58,http://trans.icheckdev.com/,354,0,99
1689039242838,297,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-29,text,true,,957,815,58,58,http://trans.icheckdev.com/,297,0,86
1689039242727,423,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-18,text,true,,957,815,60,60,http://trans.icheckdev.com/,423,0,149
1689039242847,305,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-30,text,true,,957,815,60,60,http://trans.icheckdev.com/,305,0,93
1689039242798,354,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-25,text,true,,957,815,60,60,http://trans.icheckdev.com/,354,0,83
1689039242857,298,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-31,text,true,,957,815,60,60,http://trans.icheckdev.com/,298,0,113
1689039242809,348,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-26,text,true,,957,815,61,61,http://trans.icheckdev.com/,348,0,73
1689039242982,176,VerifyRoutingNumber - Success,200,OK,ROUTING_NUMBER 1-1,text,true,,957,857,61,61,http://trans.icheckdev.com/,175,0,0
1689039242828,333,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-28,text,true,,957,815,60,60,http://trans.icheckdev.com/,333,0,79
1689039242907,264,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-36,text,true,,957,815,61,61,http://trans.icheckdev.com/,264,0,110
1689039242887,287,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-34,text,true,,957,815,61,61,http://trans.icheckdev.com/,287,0,118
1689039242868,309,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-32,text,true,,957,815,61,61,http://trans.icheckdev.com/,309,0,109
1689039242969,211,VerifyRoutingNumber - Success,200,OK,ROUTING_NUMBER 1-14,text,true,,957,857,62,62,http://trans.icheckdev.com/,211,0,0
